; Motor Guará DXAL-2 V3
Classe Dext Comprimento P MassaPropelente(kg) MassaMotorCompleto(kg) FENIX
Time(s)     Temp1(ºC)    Temp2(ºC)    Pressure(PSI)
9.72     24     24     498
9.75     24     24     494
9.77     24     24     498
9.80     24     24     494
9.86     24     24     493
9.89     24     24     494
9.92     24     24     496
9.95     24     25     491
9.97     24     25     495
10.00     24     25     491
10.03     24     25     490
10.06     24     25     496
10.09     24     25     494
10.12     24     25     493
10.15     24     25     495
10.18     25     24     494
10.21     25     24     491
10.23     25     24     560
10.26     25     24     553
10.29     25     24     553
10.32     25     24     552
10.35     25     24     553
10.38     25     24     552
10.41     24     25     551
10.44     24     25     551
10.47     24     25     550
10.49     24     25     554
10.52     24     25     549
10.55     24     25     555
10.58     24     25     558
10.61     24     25     553
10.64     24     25     551
10.67     24     25     548
10.69     24     25     560
10.75     24     25     557
10.78     24     25     554
10.81     24     25     557
10.83     24     25     549
10.86     24     24     552
10.89     24     24     561
10.92     24     24     555
10.95     24     24     550
10.98     24     24     549
11.01     24     24     558
11.04     24     24     553
11.07     24     24     555
11.10     25     24     562
11.13     25     24     559
11.16     25     24     553
11.21     25     24     550
11.24     25     24     547
11.27     25     24     561
11.30     25     24     558
11.33     24     24     555
11.35     24     24     551
11.38     24     24     548
11.41     24     24     558
11.44     24     24     559
11.47     24     24     550
11.50     24     24     548
11.53     24     24     566
11.56     24     25     557
11.59     24     25     554
11.62     24     25     550
11.64     24     25     554
11.67     24     25     561
11.70     24     25     558
11.73     24     25     554
11.76     24     25     552
11.79     25     25     551
11.81     25     25     562
11.84     25     25     558
11.87     25     25     554
11.90     25     25     553
